word, frequency
étudiants,19
merci,16
sondage,14
futurs,11
ingénieurs,11
encourager,11
idée,27
promouvoir,11
cours,10
projet,19
domaine,17
polytechnique,8
entreprenariat,38
entrepreneurs,7
entreprise,9
temps,6
entrepreneurial,5
intéressant,4
possibilité,4
pouvoir,4
lancer,4
domaines,4
produit,4
développer,3
intégrateur,3
recherche,3
support,3
politique,3
activités,2
disposition,2
réaliser,2
ingénierie,2
conférences,2
entreprises,2
artenaires,2
connaissances,2
expérience,2
professionnelle,2
encourager,2
découvrir,2
stage,2
mentor,2
contacts,2
organiser,2
participer,2
présentation,2
co-founders,2
technologique,1
professeurs,1
laboratoire,1


